Description,Potential_Accident_Level
"In the welding workshop of level 3620 (Ex -450 tunnel quinoa), in moments that the assistant raised a wooden strut - 3m long x 4 ""diameter - 20 Kg of weight, to place it on the work table at 1.30 m of height, treads another wooden strut placed on the floor losing the balance falling at the same level lying laterally on a concrete wall causing a bruise on the left shoulder.",III
"On Sunday, 15, the collaborator goes to the medical center saying that he had an accident 3 days ago when he performed internal maintenance work on the heat exchangers, defined as a confined space and at risk of burning with acid. When leaving the confined space, the employee removes the protective gloves without having passed through the emergency shower; At that moment, skin contact occurs with sulfates, generating the lesion.",II
"In moments that the truck of transport of personnel of the company MCEISA plate AJG-751, moved from the Nv 3300 to surface, missing 50m to reach the mouth of the Nv 3900, the gearbox does not respond so the driver stops the truck to inspect it along with maintenance personnel who At that time I was traveling in the truck. They raise the cabin to manually put the change in first and continue the trip, culminated this task the driver with the support of the maintenance personnel lower the cabin which due to the weight falls hitting the driver between the cabin and the hopper of the truck. At the time of the accident the employee was wearing his safety helmet and chin strap.",IV
"After completing the welding work on the backhoe bucket made for 4 hours, during which he used glass moon # 10, the welder feels a slight discomfort in the eyes, so he is transferred to the medical service for evaluation . During the accident the welder used facial mask for welding.",IV
"When an employee of MILPO Lima visited the facilities, when he was at level 2900, waiting for the personnel cage to go up to level 4070, drops of water fall from the ceiling from a height of 2.20 meters approximately, product of a slight filtration in the crown (sustained with shotcrete), a drop enters the right eye causing discomfort in the right eye. According to the employee, at the time of the accident the lenses had been removed to clean them, this happened after the visit to the interior of the mine.",II
"At the El Porvenir sub-station at level 4240, when assembling a metal structure (approximately 120 kg) with the support of a lifting system, three operators try to accommodate the structure to anchor it on its base, at this moment the Metallic structure slides in the direction of the injured worker's right hand, producing a slight right hand accretion between the head of the bolt and the base of the structure causing the injury. At the time of the accident the operators made use of their safety gloves.",IV
"The employee was performing carbon steel pipe marking activity when his helmet was struck by a tube, causing a scalp wound due to the impact of the helmet's sheepskin.",III
"During the maintenance on the LX-P-205B pump, there was the projection of silicate pulp, reaching the right leg of the employee.",III
"In circumstances that the collaborator Juveni performed the washing of the tabolas in the pot washing area, she suffers a feeling of dizziness and faintness causing the fall the same level and producing a slight concussion in the head.",I
"During the transit of the fuel tanker of level 3530 at level 2925 by the north ramp; When passing through level 3140 the operator feels that the right rear tire skids and when the operator performs a defensive maneuver the truck hits the left gable causing the injury described. At the time of the accident, the pilot and co-pilot were wearing a safety belt, their safety glasses and helmet.",IV
